,Chromosome_0,Chromosome_1,Chromosome_2,Chromosome_3,Chromosome_4,Chromosome_5,Chromosome_6,Chromosome_7,Chromosome_8,Chromosome_9
15,846.9257205465359,846.9257205465359,878.5976971863982,841.1233631194144,857.4473318851152,846.9257205465359,846.9257205465359,917.5799948864501,871.0985604609294,849.4831286007774
16,857.4473318851152,841.1233631194144,841.1233631194144,846.9257205465359,841.1233631194144,841.1233631194144,878.5976971863982,846.9257205465359,846.9257205465359,871.0985604609294
17,846.9257205465359,846.9257205465359,845.7671390301765,857.4473318851152,884.1348129408299,841.1233631194144,841.1233631194144,871.0985604609294,857.4473318851152,841.1233631194144
18,841.1233631194144,844.2825547503413,841.1233631194144,846.9257205465359,841.1233631194144,846.9257205465359,845.7671390301765,847.4746353553317,841.1233631194144,857.4473318851152
19,844.2825547503413,841.1233631194144,846.123705063307,857.4473318851152,841.1233631194144,841.1233631194144,846.9257205465359,841.1233631194144,844.2825547503413,857.4473318851152
20,841.1233631194144,841.1233631194144,844.2825547503413,841.1233631194144,844.2825547503413,834.8338892132005,844.2825547503413,843.2223048077195,843.2223048077195,853.4161683476915
21,844.2825547503413,844.2825547503413,844.2825547503413,841.1233631194144,853.4161683476915,841.1233631194144,844.2825547503413,853.4161683476915,841.1233631194144,841.1233631194144
22,844.2825547503413,853.4161683476915,853.4161683476915,853.4161683476915,844.2825547503413,844.2825547503413,844.2825547503413,822.5442399011066,822.7232586749607,841.1233631194144
23,844.2825547503413,844.2825547503413,827.3143386261528,844.2825547503413,853.4161683476915,822.7232586749607,844.2825547503413,844.2825547503413,841.1233631194144,844.2825547503413
24,844.2825547503413,841.1233631194144,844.2825547503413,844.2825547503413,857.9804128943748,853.4161683476915,827.3143386261528,844.2825547503413,844.2825547503413,853.4161683476915
25,841.1233631194144,853.4161683476915,844.2825547503413,876.8638585986324,827.3143386261528,841.1233631194144,831.5951005075877,841.1233631194144,841.9386760401744,844.2825547503413
26,827.3143386261528,841.1233631194144,841.1233631194144,841.9386760401744,853.4161683476915,876.8638585986324,844.2825547503413,841.9386760401744,841.1233631194144,841.9386760401744
27,841.1233631194144,849.9910904781539,876.8638585986324,849.9910904781539,844.2825547503413,841.1233631194144,841.9386760401744,841.1233631194144,876.8638585986324,838.7146460811279
28,804.9575678331804,838.7146460811279,841.1233631194144,841.9386760401744,841.348743006945,883.3177520635955,841.1233631194144,883.3177520635955,841.9386760401744,842.2569267399575
