,Chromosome_0,Chromosome_1,Chromosome_2,Chromosome_3,Chromosome_4,Chromosome_5,Chromosome_6,Chromosome_7,Chromosome_8,Chromosome_9
23,790.7310202861163,760.1291490269853,790.7310202861163,790.7310202861163,793.0820614210468,793.0820614210468,793.0820614210468,790.7310202861163,793.0820614210468,793.0820614210468
24,760.1291490269853,790.7310202861163,760.1291490269853,790.7310202861163,760.1291490269853,790.7310202861163,793.0820614210468,793.0820614210468,791.8525631948769,793.0820614210468
25,793.0820614210468,760.1291490269853,760.1291490269853,790.7310202861163,793.0820614210468,793.0820614210468,760.1291490269853,790.7310202861163,760.1291490269853,760.1291490269853
26,793.0820614210468,760.1291490269853,793.0820614210468,760.1291490269853,793.0820614210468,760.1291490269853,793.0820614210468,760.1291490269853,760.1291490269853,760.1291490269853
27,760.1291490269853,793.0820614210468,793.0820614210468,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,793.0820614210468,793.0820614210468,793.0820614210468
28,760.1291490269853,793.0820614210468,760.1291490269853,760.1291490269853,793.0820614210468,760.1291490269853,793.0820614210468,793.0820614210468,793.0820614210468,760.1291490269853
29,760.1291490269853,760.1291490269853,760.1291490269853,793.0820614210468,760.1291490269853,793.0820614210468,760.1291490269853,793.0820614210468,760.1291490269853,760.1291490269853
30,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853
31,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853
32,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853
33,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853
34,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853
35,760.1291490269853,760.1291490269853,757.0298803777173,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853
36,760.1291490269853,757.0298803777173,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853
37,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,760.1291490269853,757.0298803777173,760.1291490269853,760.1291490269853
